"1","1","Aguascalientes","Ags.","AGS","1"
"2","2","Baja California","BC","BC","2"
"3","3","Baja California Sur","BCS","BCS","3"
"4","4","Campeche","Camp.","CAMP","4"
"5","5","Coahuila de Zaragoza","Coah.","COAH","5"
"6","6","Colima","Col.","COL","6"
"7","7","Chiapas","Chis.","CHIS","7"
"8","8","Chihuahua","Chih.","CHIH","8"
"9","9","Distrito Federal","DF","DF","9"
"10","10","Durango","Dgo.","DGO","10"
"11","11","Guanajuato","Gto.","GTO","11"
"12","12","Guerrero","Gro.","GRO","12"
"13","13","Hidalgo","Hgo.","HGO","13"
"14","14","Jalisco","Jal.","JAL","14"
"15","15","México","Mex.","Edomex","15"
"16","16","Michoacán de Ocampo","Mich.","MICH","16"
"17","17","Morelos","Mor.","MOR","17"
"18","18","Nayarit","Nay.","NAY","18"
"19","19","Nuevo León","NL","NL","19"
"20","20","Oaxaca","Oax.","OAX","20"
"21","21","Puebla","Pue.","PUE","21"
"22","22","Querétaro","Qro.","QRO","22"
"23","23","Quintana Roo","Q. Roo","QROO","23"
"24","24","San Luis Potosí","SLP","S.L.P.","24"
"25","25","Sinaloa","Sin.","SIN","25"
"26","26","Sonora","Son.","SON","26"
"27","27","Tabasco","Tab.","TAB","27"
"28","28","Tamaulipas","Tamps.","TAMPS","28"
"29","29","Tlaxcala","Tlax.","TLAX","29"
"30","30","Veracruz de Ignacio de la Llave","Ver.","VER","30"
"31","31","Yucatán","Yuc.","YUC","31"
"32","32","Zacatecas","Zac.","ZAC","32"
